Dado 1: 1, Dado 2: 3, Suma: 4
Dado 1: 5, Dado 2: 4, Suma: 9
Dado 1: 5, Dado 2: 4, Suma: 9
Dado 1: 5, Dado 2: 2, Suma: 7
Dado 1: 4, Dado 2: 2, Suma: 6
Dado 1: 4, Dado 2: 1, Suma: 5
Dado 1: 6, Dado 2: 1, Suma: 7
Dado 1: 1, Dado 2: 4, Suma: 5
Dado 1: 2, Dado 2: 1, Suma: 3
Dado 1: 5, Dado 2: 1, Suma: 6
Dado 1: 1, Dado 2: 1, Suma: 2
Dado 1: 3, Dado 2: 4, Suma: 7
Dado 1: 3, Dado 2: 6, Suma: 9
Dado 1: 2, Dado 2: 6, Suma: 8
Dado 1: 2, Dado 2: 5, Suma: 7
Dado 1: 2, Dado 2: 5, Suma: 7
Dado 1: 4, Dado 2: 2, Suma: 6
Dado 1: 5, Dado 2: 1, Suma: 6
Dado 1: 1, Dado 2: 3, Suma: 4
Dado 1: 3, Dado 2: 2, Suma: 5
Dado 1: 1, Dado 2: 2, Suma: 3
Dado 1: 5, Dado 2: 4, Suma: 9
Dado 1: 3, Dado 2: 2, Suma: 5
Dado 1: 6, Dado 2: 2, Suma: 8
Dado 1: 2, Dado 2: 3, Suma: 5
Dado 1: 5, Dado 2: 6, Suma: 11
Dado 1: 2, Dado 2: 1, Suma: 3
Dado 1: 4, Dado 2: 2, Suma: 6
Dado 1: 5, Dado 2: 1, Suma: 6
Dado 1: 5, Dado 2: 4, Suma: 9
Dado 1: 4, Dado 2: 3, Suma: 7
Dado 1: 4, Dado 2: 6, Suma: 10
